name,url,searchUrl,resultListingClass,resultUrl,absoluteUrl,pageTitle,pageBody
Reuters,http://reuters.com,http://www.reuters.com/search/news?blob=,div.search-result-content,h3.search-result-title a,FALSE,h1,span#article-text
Brookings,http://www.brookings.edu,https://www.brookings.edu/search/?s=,div.list-content article,h4.title a,TRUE,h1,div.post-body
